Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Africa Eastern and Southern,AFE,7.8 lacs,7.84 lacs,7.85 lacs,7.84 lacs,7.83 lacs,7.84 lacs,7.86 lacs,7.81 lacs,7.79 lacs,7.72 lacs,7.73 lacs,7.96 lacs,7.79 lacs,7.31 lacs,7.12 lacs,6.99 lacs,6.74 lacs,6.27 lacs,6.32 lacs,6.87 lacs,6.75 lacs,6.56 lacs,6.45 lacs,6.41 lacs,6.49 lacs,6.61 lacs,6.71 lacs,6.73 lacs,6.91 lacs,7.56 lacs,8.11 lacs
Afghanistan,AFG,10.65 lacs,10.82 lacs,10.72 lacs,10.73 lacs,11.18 lacs,10.96 lacs,10.78 lacs,10.8 lacs,10.81 lacs,10.81 lacs,10.81 lacs,11.26 lacs,11.14 lacs,10.99 lacs,11.22 lacs,11.1 lacs,11.3 lacs,11.09 lacs,11.31 lacs,11.35 lacs,11.05 lacs,11.34 lacs,11.19 lacs,11.14 lacs,11.13 lacs,11.16 lacs,11.18 lacs,11.15 lacs,11.22 lacs,11.71 lacs,13.28 lacs
Africa Western and Central,AFW,4.42 lacs,4.53 lacs,4.55 lacs,4.54 lacs,4.53 lacs,4.57 lacs,4.6 lacs,4.66 lacs,4.86 lacs,4.92 lacs,4.87 lacs,4.78 lacs,4.75 lacs,4.73 lacs,4.73 lacs,4.65 lacs,4.63 lacs,4.6 lacs,4.58 lacs,4.55 lacs,4.55 lacs,4.64 lacs,4.41 lacs,4.69 lacs,4.63 lacs,5.57 lacs,6.02 lacs,6.04 lacs,6.06 lacs,6.77 lacs,6.84 lacs
Angola,AGO,4.21 lacs,4.21 lacs,4.23 lacs,4.16 lacs,4.11 lacs,4.1 lacs,4.09 lacs,4.07 lacs,4.05 lacs,4.03 lacs,4 lacs,3.96 lacs,3.96 lacs,3.92 lacs,3.88 lacs,3.86 lacs,3.82 lacs,3.79 lacs,3.78 lacs,9.43 lacs,7.36 lacs,7.35 lacs,7.37 lacs,7.37 lacs,7.39 lacs,7.41 lacs,7.41 lacs,7.42 lacs,7.42 lacs,8.33 lacs,8.53 lacs
Albania,ALB,10.31 lacs,30.01 lacs,25.26 lacs,20.84 lacs,14.61 lacs,13.93 lacs,16.88 lacs,20.05 lacs,20.84 lacs,19.03 lacs,18.58 lacs,17.9 lacs,16.99 lacs,16.31 lacs,15.97 lacs,15.63 lacs,15.97 lacs,13.06 lacs,13.67 lacs,14.09 lacs,13.48 lacs,13.38 lacs,15.87 lacs,18.05 lacs,17.19 lacs,15.42 lacs,13.62 lacs,12.3 lacs,11.47 lacs,13.33 lacs,11.82 lacs
Arab World,ARB,11.62 lacs,12.12 lacs,12.86 lacs,12.95 lacs,13.32 lacs,12.38 lacs,11.95 lacs,11.97 lacs,12.11 lacs,12.6 lacs,12.47 lacs,12.47 lacs,12.39 lacs,11.35 lacs,11.2 lacs,10.43 lacs,10.03 lacs,9.72 lacs,9.33 lacs,9.4 lacs,10.48 lacs,10.66 lacs,10.74 lacs,10.87 lacs,10.97 lacs,10.76 lacs,10.9 lacs,10.5 lacs,10.01 lacs,11.49 lacs,11.63 lacs
United Arab Emirates,ARE,1.87 lacs,1.84 lacs,1.85 lacs,1.81 lacs,1.8 lacs,1.9 lacs,1.98 lacs,2.14 lacs,2.22 lacs,2.25 lacs,2.49 lacs,2.65 lacs,2.75 lacs,2.91 lacs,3.12 lacs,2.94 lacs,2.87 lacs,2.74 lacs,2.68 lacs,2.48 lacs,2.3 lacs,2.18 lacs,2.04 lacs,1.91 lacs,1.77 lacs,1.64 lacs,2.46 lacs,2.35 lacs,2.23 lacs,3.19 lacs,3.36 lacs
Argentina,ARG,5.44 lacs,6.36 lacs,10.1 lacs,11.76 lacs,18.8 lacs,17.11 lacs,14.82 lacs,12.65 lacs,14.05 lacs,15 lacs,17.32 lacs,19.59 lacs,15.36 lacs,13.52 lacs,11.51 lacs,10.08 lacs,8.47 lacs,7.84 lacs,8.65 lacs,7.71 lacs,7.18 lacs,7.22 lacs,7.1 lacs,7.27 lacs,7.52 lacs,8.11 lacs,8.35 lacs,9.22 lacs,9.84 lacs,11.46 lacs,10.9 lacs
Armenia,ARM,1.6 lacs,1.8 lacs,5.3 lacs,6.6 lacs,6.7 lacs,9.3 lacs,10.8 lacs,9.4 lacs,11.2 lacs,11.05 lacs,10.91 lacs,10.78 lacs,10.59 lacs,10.34 lacs,10.2 lacs,10 lacs,9.81 lacs,14.39 lacs,18.44 lacs,19.01 lacs,18.44 lacs,17.3 lacs,16.18 lacs,17.5 lacs,18.26 lacs,17.62 lacs,17.7 lacs,18.97 lacs,18.3 lacs,21.21 lacs,20.9 lacs
Australia,AUS,9.58 lacs,10.73 lacs,10.87 lacs,9.72 lacs,8.47 lacs,8.51 lacs,8.36 lacs,7.68 lacs,6.87 lacs,6.28 lacs,6.74 lacs,6.37 lacs,5.93 lacs,5.39 lacs,5.03 lacs,4.78 lacs,4.38 lacs,4.23 lacs,5.56 lacs,5.21 lacs,5.08 lacs,5.22 lacs,5.66 lacs,6.08 lacs,6.05 lacs,5.71 lacs,5.59 lacs,5.3 lacs,5.16 lacs,6.46 lacs,5.11 lacs
Austria,AUT,3.42 lacs,3.59 lacs,4.25 lacs,3.54 lacs,4.35 lacs,5.28 lacs,5.15 lacs,5.52 lacs,4.7 lacs,4.69 lacs,4.01 lacs,4.85 lacs,4.78 lacs,5.83 lacs,5.63 lacs,5.24 lacs,4.86 lacs,4.13 lacs,5.3 lacs,4.82 lacs,4.56 lacs,4.87 lacs,5.33 lacs,5.62 lacs,5.72 lacs,6.01 lacs,5.5 lacs,4.85 lacs,4.49 lacs,5.36 lacs,6.3 lacs
Azerbaijan,AZE,0.9 lacs,1.8 lacs,4.5 lacs,6.3 lacs,7.2 lacs,8.1 lacs,9.1 lacs,10 lacs,10.9 lacs,11.78 lacs,10.91 lacs,10.04 lacs,9.17 lacs,7.99 lacs,7.26 lacs,6.62 lacs,6.33 lacs,5.86 lacs,5.74 lacs,5.63 lacs,5.42 lacs,5.19 lacs,4.97 lacs,4.91 lacs,4.96 lacs,5 lacs,5 lacs,4.9 lacs,4.85 lacs,6.46 lacs,6.58 lacs
Burundi,BDI,1.51 lacs,1.53 lacs,1.56 lacs,1.56 lacs,1.58 lacs,1.59 lacs,1.57 lacs,1.56 lacs,1.58 lacs,1.59 lacs,1.59 lacs,1.59 lacs,1.61 lacs,1.6 lacs,1.62 lacs,1.61 lacs,1.63 lacs,1.63 lacs,1.62 lacs,1.61 lacs,1.6 lacs,1.59 lacs,1.58 lacs,1.57 lacs,1.6 lacs,1.59 lacs,1.59 lacs,1.59 lacs,1.59 lacs,1.71 lacs,1.79 lacs
Belgium,BEL,6.99 lacs,6.7 lacs,8.08 lacs,9.65 lacs,9.34 lacs,9.48 lacs,8.96 lacs,9.32 lacs,8.65 lacs,6.59 lacs,6.18 lacs,6.91 lacs,7.68 lacs,7.36 lacs,8.44 lacs,8.25 lacs,7.46 lacs,6.98 lacs,7.91 lacs,8.29 lacs,7.14 lacs,7.54 lacs,8.43 lacs,8.52 lacs,8.48 lacs,7.83 lacs,7.09 lacs,5.95 lacs,5.36 lacs,5.55 lacs,6.42 lacs
Benin,BEN,1.49 lacs,1.51 lacs,1.41 lacs,1.36 lacs,1.25 lacs,1.18 lacs,1.1 lacs,1.02 lacs,0.94 lacs,0.85 lacs,0.77 lacs,0.69 lacs,0.74 lacs,0.77 lacs,0.0000082 lacs,0.86 lacs,0.89 lacs,0.94 lacs,1 lacs,1.04 lacs,2.65 lacs,2.47 lacs,2.29 lacs,2.13 lacs,2.01 lacs,1.83 lacs,1.64 lacs,1.47 lacs,1.47 lacs,1.58 lacs,1.57 lacs
Burkina Faso,BFA,2.58 lacs,2.61 lacs,2.58 lacs,2.58 lacs,2.53 lacs,2.47 lacs,2.47 lacs,2.44 lacs,2.51 lacs,2.61 lacs,2.65 lacs,2.73 lacs,2.78 lacs,3.41 lacs,4 lacs,3.65 lacs,3.3 lacs,3.41 lacs,3.56 lacs,3.64 lacs,3.79 lacs,3.91 lacs,4.05 lacs,4.19 lacs,4.32 lacs,4.43 lacs,4.56 lacs,4.69 lacs,4.69 lacs,4.89 lacs,4.76 lacs
Bangladesh,BGD,2.2 lacs,2.33 lacs,2.36 lacs,2.38 lacs,2.48 lacs,2.51 lacs,2.69 lacs,2.9 lacs,3.06 lacs,3.27 lacs,3.62 lacs,3.9 lacs,4.32 lacs,4.26 lacs,4.25 lacs,3.59 lacs,4.13 lacs,4.57 lacs,5 lacs,3.38 lacs,3.77 lacs,4.12 lacs,4.43 lacs,4.38 lacs,4.37 lacs,4.35 lacs,4.37 lacs,4.41 lacs,4.44 lacs,5.41 lacs,5.23 lacs
Bulgaria,BGR,11.1 lacs,15.3 lacs,16.4 lacs,12.8 lacs,11.1 lacs,12.5 lacs,13.7 lacs,12.2 lacs,14.1 lacs,16.22 lacs,19.92 lacs,18.11 lacs,13.73 lacs,12.04 lacs,10.08 lacs,8.95 lacs,6.88 lacs,5.61 lacs,6.82 lacs,10.28 lacs,11.26 lacs,12.27 lacs,12.94 lacs,11.42 lacs,9.14 lacs,7.57 lacs,6.16 lacs,5.21 lacs,4.23 lacs,5.12 lacs,5.42 lacs
Bahrain,BHR,1.01 lacs,1.05 lacs,1.01 lacs,1.11 lacs,1.08 lacs,1.08 lacs,1.09 lacs,1.08 lacs,1.09 lacs,1.08 lacs,111.2 lacs,1.11 lacs,1.09 lacs,1.09 lacs,1.09 lacs,0.00011 lacs,1.09 lacs,1.11 lacs,1.14 lacs,1.13 lacs,1.18 lacs,1.2 lacs,1.18 lacs,1.19 lacs,1.2 lacs,1.19 lacs,1.18 lacs,1.2 lacs,1.2 lacs,1.78 lacs,1.87 lacs
"Bahamas, The",BHS,12.17 lacs,14.81 lacs,12.72 lacs,13.83 lacs,10.83 lacs,11.46 lacs,9.76 lacs,7.65 lacs,7.45 lacs,7.2 lacs,6.87 lacs,9.05 lacs,10.84 lacs,10.2 lacs,10.2 lacs,7.54 lacs,7.88 lacs,8.18 lacs,14.25 lacs,14.31 lacs,14.52 lacs,14.02 lacs,16.18 lacs,13.8 lacs,12 lacs,12.7 lacs,9.8 lacs,10 lacs,10.06 lacs,13.32 lacs,13.24 lacs
Bosnia and Herzegovina,BIH,17.55 lacs,18.3 lacs,19.32 lacs,20.71 lacs,21.77 lacs,22.77 lacs,23.61 lacs,24.49 lacs,25.09 lacs,25.78 lacs,26.61 lacs,27.55 lacs,28.36 lacs,29.37 lacs,30.41 lacs,31.11 lacs,28.98 lacs,23.41 lacs,24.07 lacs,27.31 lacs,27.58 lacs,28.01 lacs,27.49 lacs,27.52 lacs,27.69 lacs,25.41 lacs,20.53 lacs,18.4 lacs,15.69 lacs,15.27 lacs,15.22 lacs
Belarus,BLR,0.6 lacs,3.1 lacs,8.5 lacs,12.8 lacs,17.7 lacs,24.4 lacs,17.1 lacs,14 lacs,12.8 lacs,12.26 lacs,11.55 lacs,10.91 lacs,10.32 lacs,9.82 lacs,9.06 lacs,8.4 lacs,7.67 lacs,7.03 lacs,6.1 lacs,6.25 lacs,6.17 lacs,6.05 lacs,6.01 lacs,5.99 lacs,5.84 lacs,5.84 lacs,5.65 lacs,4.76 lacs,4.16 lacs,4.77 lacs,4.74 lacs
Belize,BLZ,9.7 lacs,9.69 lacs,9.78 lacs,11.1 lacs,12.48 lacs,13.82 lacs,12.68 lacs,14.31 lacs,12.84 lacs,10.85 lacs,9.07 lacs,10.04 lacs,10.24 lacs,10.59 lacs,10.91 lacs,9.39 lacs,8.51 lacs,8.18 lacs,8.25 lacs,8.24 lacs,8.28 lacs,8.31 lacs,8.35 lacs,8.24 lacs,7.58 lacs,7 lacs,6.6 lacs,6.64 lacs,6.71 lacs,8.46 lacs,8.22 lacs
Bolivia,BOL,2.96 lacs,3.26 lacs,3.08 lacs,3.08 lacs,2.75 lacs,2.44 lacs,2.08 lacs,2.13 lacs,2.44 lacs,2.38 lacs,2.48 lacs,2.49 lacs,2.54 lacs,2.5 lacs,2.54 lacs,2.58 lacs,2.65 lacs,2.6 lacs,2.97 lacs,2.61 lacs,2.25 lacs,2.07 lacs,2.44 lacs,2.02 lacs,3.11 lacs,3.5 lacs,3.65 lacs,3.52 lacs,3.82 lacs,7.9 lacs,8.51 lacs
Brazil,BRA,6.31 lacs,6.42 lacs,6.03 lacs,6.17 lacs,6.42 lacs,7.25 lacs,8.16 lacs,9.42 lacs,10.21 lacs,9.56 lacs,9.61 lacs,9.37 lacs,9.99 lacs,9.11 lacs,9.57 lacs,8.64 lacs,8.33 lacs,7.34 lacs,8.52 lacs,7.27 lacs,6.92 lacs,7.19 lacs,6.98 lacs,6.66 lacs,8.43 lacs,11.6 lacs,12.82 lacs,12.33 lacs,11.93 lacs,13.69 lacs,14.4 lacs
Barbados,BRB,22.67 lacs,22.94 lacs,24.54 lacs,22.98 lacs,19.66 lacs,14.71 lacs,14.61 lacs,12.4 lacs,10.61 lacs,9.35 lacs,9.85 lacs,10.32 lacs,11 lacs,9.57 lacs,9.08 lacs,8.73 lacs,7.41 lacs,8.12 lacs,10.02 lacs,10.69 lacs,11.19 lacs,11.59 lacs,11.55 lacs,12.17 lacs,9.8 lacs,8.25 lacs,8.62 lacs,8.32 lacs,8.41 lacs,10.38 lacs,10.41 lacs
